,0,1,2,3,4,5
0,25257444.931500006,25276512.215199996,25200406.939999998,29674989.61,10540359.733383698,482736225619192.25
1,25296798.979500003,25110726.757599995,25005489.717499997,29787978.0247,11584055.764671918,530635342772094.44
2,25097944.888000008,22009370.619999997,24902006.3921,26179905.6925,38488330.99806541,1676580286352057.8
3,22077863.319000006,20089107.788799997,23499311.18,23781349.7593,93937591.99124137,3620714837639772.0
4,20088331.720500004,20282763.236799996,21231284.7557,23245660.349799998,54056402.502134,2014142594896288.0
5,20286980.843000006,19891012.268799998,20481148.778199997,23557282.4788,63227299.13891779,2338345545875644.5
6,19855008.675500005,20932414.079199996,20877868.610799998,23217789.0616,32695331.245021842,1212947309324477.2
7,20936766.734500006,20862363.404799998,20766858.6117,24475653.613599997,23550067.764573008,889603475751285.6
8,20866701.498000003,20630181.793599997,20877868.610799998,24357099.067,14247783.111229826,537315404774315.1
9,20644241.810000006,20784901.225599997,21074439.676400002,24172563.5116,19824328.467302978,751559204853291.8
10,20790248.061000004,20579530.818399996,20787346.015,24429905.6974,9766128.156287795,369074337772711.25
11,20550126.877500005,20724550.400799997,20570658.816999998,24279701.3935,5943320.562461445,222747126679337.78
12,20731216.989000004,19909011.637599997,20549226.360499997,23645690.529999997,12640121.429617368,465398542619654.56
13,19912604.964500003,19147368.517599996,19770941.298399996,22613315.262999997,25759654.393797226,908636760004113.8
14,19217760.054500002,19753540.808799997,20019827.809,22640333.3485,18372121.279808316,660414405279042.4
15,19781732.258,16473796.239999996,19656016.078900002,19410514.2133,60755857.5226976,1935753584161231.8
16,16474796.573500004,16057146.714399997,17171538.7199,18977452.9,61715808.28082467,1846191076850449.8
17,16060485.901500003,15600570.695199996,16117534.3867,17816853.4558,24096080.92216176,688172861086995.0
18,15660454.736500002,17966070.284799997,17757809.2229,15645899.499999998,46206728.85171361,1269084004253485.8
19,17969703.813500006,18164404.885599997,19042440.2888,19410432.9559,43870522.126927376,1435692335238037.5
20,18233669.724000003,17243807.187999997,18250586.962899998,20373251.8885,22053536.333904184,714556961214028.9
21,17131653.8955,17371681.2616,17555601.59,19713807.4588,17284645.533109494,539645038432859.8
22,17368973.836000003,17384284.235199995,17295543.2005,19842803.581299998,10401169.265147205,324046976173673.2
23,17387796.822500005,17795571.519999996,17736511.774,20474295.4654,10456689.12072612,334929342318026.0
24,17761421.148000002,18170689.295199998,19053342.1525,21006287.6632,22658888.75071842,763789207984735.2
25,18112054.784000006,19280399.905599996,19053342.1525,21293288.8,13175279.798774406,444643271859776.5
26,19252809.753500003,19130837.787999995,19742724.709999997,22697294.785899997,19161870.125384737,681115605888758.0
27,19134405.994500004,19018025.804799996,19151121.406799998,21683933.750499997,21599654.68232935,742918384497159.1
28,19056346.967,19390786.9264,19382119.4104,22053004.8613,22616925.470273066,782882654774473.0
29,19395092.401000004,19768944.443199996,20223183.006500002,22478184.2068,22953545.379118435,819665711844549.6
30,19712862.674000002,19568150.725599997,19995863.959999997,22831288.2385,34163835.940537006,1218985054204504.0
31,19522548.957500003,17086867.72,19386372.1498,20275743.0085,35980798.642790325,1195849390619026.5
32,17144976.880500004,18396688.959999997,18345396.05,20216628.25,24408262.094045166,789828610910567.4
33,18400514.490000002,17903328.652,18334460.4344,20842228.972599998,17576606.241199728,575740795244386.6
34,17888160.313000005,17133283.549599998,17726048.685,20373211.2598,10454409.35547336,330876106343251.5
35,17192188.073500004,17990968.842399996,17794835.0572,19708810.1287,24505945.185758103,765685435625216.1
36,17959045.425500005,18748889.132799998,18865850.347999997,21164942.7367,16801305.15750201,566366214050096.9
37,18750089.119500004,19332929.372799996,19105252.574699998,21998196.745,6214540.487015734,213590799382537.7
38,19336949.528000005,19131008.559999995,19151121.406799998,22263583.413399998,4261949.45266951,147698036447440.5
39,19134986.740000002,18915835.839999996,19505212.5897,22478184.2068,10043121.43716089,353403552217777.3
40,18987033.2835,19056791.0488,19050068.2182,22130483.7922,8668789.633246854,298437140327115.25
41,19058635.7875,18739564.981599998,18830275.845399998,21736507.2883,6443134.362395271,216694033722697.28
42,18738542.532500003,18600283.338399995,18739280.722999997,22094649.2788,4758256.9795956435,162788182093983.44
43,18628986.602000006,19073355.932799995,19118348.3119,22124836.4029,4705604.228114958,163539662841818.88
44,19104719.651000004,18951834.577599995,18992453.7249,22130483.7922,7142536.1141171325,243963223409273.06
45,18974496.013000004,18814909.587999996,18809754.690199997,22162580.4652,2375967.7407791456,81183944549555.19
46,18808266.154000003,18673134.673599996,18611462.2777,22044513.463,3298751.7850495228,111787710659978.3
47,18683815.809500005,18701892.678399995,18581760.605699997,22057108.36,4232003.144996834,143701429569713.06
48,18685113.946500003,18106376.56,18697495.8708,21502729.7485,8458807.635918386,283736991796483.3
49,18156191.442,18219598.395999994,18232428.4407,21582565.143999998,6235061.820180806,207571916746463.16
50,18223284.628000002,18308468.144799996,18320048.373099998,21170143.2103,7784056.021755365,256577258754896.5
51,18331781.552000005,18738881.893599994,18630194.5822,21714080.245899998,5708229.885984379,192891278437883.22
52,18710393.456500005,18529891.119999997,18674915.8497,21658947.099999998,7068318.651386932,237134660640589.06
53,18531318.873500004,18371927.019999996,18497785.8785,21744064.226499997,5877168.932496982,197300640562149.06
54,18366797.089500003,18324213.323199995,18247515.54,21496432.3,7091488.784358721,235520952435181.4
55,18298474.089500003,18255836.214399997,18342088.3638,21606292.3048,5769101.741492251,192404344323676.62
56,18289421.292000003,18405569.104,18532617.8393,21407049.16,9463313.165485954,316879918372239.9
57,18380905.789000005,18400445.944,18295173.222799998,21762022.111899998,4363442.935827308,145974846726458.25
58,18404238.093500003,18768288.832,18607884.5763,21841573.1065,6950277.175225041,234808546851893.2
59,18764710.2415,18665484.087999996,18607378.297799997,22051014.055,5489519.401846191,186571700598849.25
60,18665539.407,18191523.479199998,18467712.935599998,21488306.56,7157649.839644267,238615394006477.03
61,18205486.486500002,18161228.5264,18101741.0839,21426388.4212,3375097.602212752,111578158179002.42
62,18147719.390000004,17915316.846399996,18035351.0966,21094126.912599996,4737492.145537653,154878546425100.1
63,17895505.035500005,17662540.132,17969062.365,20525406.37,12612366.47819713,403882891021616.4
64,17664914.910500005,17875936.823199995,17796860.171199996,20693365.4158,9890123.605142716,318313257417298.8
65,17867390.121000003,17548874.288799997,17674070.759,20869084.5433,3400923.8369852784,109273822497893.56
66,17549893.140000004,17712747.099999998,17609402.118599996,20826790.066600002,2482113.4148431784,79624046669458.47
67,17716430.452500004,17616397.537599996,17588307.181099996,20949529.3693,1610219.5616330693,51877919978183.26
68,17642744.097000003,17920679.087199997,17751362.61,20963546.2708,2725418.1554847164,88208587280661.48
69,17924439.826000005,17912345.413599994,17821802.825299997,21144750.2728,1568254.6464360708,51050768133213.16
70,17900902.552500002,18041893.052799996,17885998.9391,21288210.2125,1446364.647668363,47328715339729.57
71,18034986.440000005,17960878.815999996,17971998.7803,21276184.1173,1416024.4521216897,46420034936623.22
72,17964716.234500006,17918288.2792,17821802.825299997,21258104.3458,1118542.9815907544,36478410157937.85
73,17865784.530500006,17948617.3864,17757775.470999997,21153038.527599998,1948775.7067706324,63236403415753.89
74,17918393.240500003,18653974.055199996,18531031.5,21244859.389599998,7075462.126024696,236873933151541.25
75,18666666.736500002,18550793.612799995,18494916.967,21919214.5522,7311480.840657977,247676941388485.5
76,18552499.003500003,18226258.503999997,18855421.0109,21400223.538399998,14620955.750581484,490431443286735.1
77,18206169.716500003,18279095.360799994,18102449.873800002,21463198.023399998,3064750.4868460684,101187307094929.86
78,18319244.281500004,18095549.615199998,18099715.9699,21293288.8,4010408.6834732476,131804436370394.14
79,18117179.009000003,18168435.104799997,18071128.1106,21433498.4437,2921944.513447551,96449406613138.42
80,18170334.303000003,17947900.143999998,18017901.3643,21337574.082999997,3501525.101907129,115083055808384.55
81,17996793.883,18228034.532799996,18173058.848599996,21337777.226499997,3916297.160489679,129375085106907.08
